alt-low                     alt-high                    press                       temp                        O3                          H2O                         CO2                         CH4                         O2                          CO                          N2                          
5.000000000000000e+00       5.500000000000000e+00       5.258762492229776e-01       2.556755600000000e+02       4.840022367582008e-08       2.043349511116618e-04       3.600147470500222e-04       1.794222495139887e-06       2.099998890982931e-01       1.063971903913415e-07       7.894338121836360e-01       
5.500000000000000e+00       6.000000000000000e+00       4.918212581446659e-01       2.524309300000000e+02       5.184073492136531e-08       1.372721165496488e-04       3.600161397332867e-04       1.793788981059487e-06       2.099998761274449e-01       1.059417023681794e-07       7.895008840448539e-01       
6.000000000000000e+00       6.500000000000000e+00       4.595778468755689e-01       2.491867900000000e+02       5.531545815808248e-08       9.348207618154809e-05       3.600175363817972e-04       1.793356541967109e-06       2.099998627023247e-01       1.053651578840802e-07       7.895446836479539e-01       
6.500000000000000e+00       7.000000000000000e+00       4.290712233960561e-01       2.459431400000000e+02       5.878647996313569e-08       6.456759951430432e-05       3.600189351654663e-04       1.792923494814644e-06       2.099998488444075e-01       1.046563589030606e-07       7.895736082545790e-01       
7.000000000000000e+00       7.500000000000000e+00       4.002287072222349e-01       2.427000200000000e+02       6.222399689342803e-08       4.523440036391858e-05       3.600203270443788e-04       1.792490082279101e-06       2.099998345622105e-01       1.038291056179360e-07       7.895929521671965e-01       
7.500000000000000e+00       8.000000000000000e+00       3.729797269554085e-01       2.394574100000000e+02       6.562091088771122e-08       3.213358374668191e-05       3.600216930052827e-04       1.792058599963179e-06       2.099998198281423e-01       1.029286657891174e-07       7.896060642869291e-01       
8.000000000000000e+00       8.500000000000000e+00       3.472558010440494e-01       2.362152800000000e+02       6.899798046893511e-08       2.313914094984609e-05       3.600230121392181e-04       1.791630875501284e-06       2.099998045729712e-01       1.020128266346810e-07       7.896150706322571e-01       
8.500000000000000e+00       9.000000000000000e+00       3.229905184968425e-01       2.329736900000000e+02       7.238407037493670e-08       1.689755101509867e-05       3.600242738901658e-04       1.791205719516847e-06       2.099997887124869e-01       1.011220910526884e-07       7.896213247507269e-01       
9.000000000000000e+00       9.500000000000000e+00       3.001195089888215e-01       2.297326000000000e+02       7.579954461580329e-08       1.254825997828266e-05       3.600254759611989e-04       1.790780051811752e-06       2.099997721677204e-01       1.002762269697653e-07       7.896256872405167e-01       
9.500000000000000e+00       1.000000000000000e+01       2.785804075226137e-01       2.264920200000000e+02       7.939526575251090e-08       9.433521543216052e-06       3.600266634987422e-04       1.790333361851647e-06       2.099997541749482e-01       9.945313315417219e-08       7.896288164582490e-01       
1.000000000000000e+01       1.050000000000000e+01       2.583128236120744e-01       2.232519600000000e+02       8.347849566930906e-08       7.120570495554283e-06       3.600279214115320e-04       1.789825406383207e-06       2.099997330822861e-01       9.860218216744123e-08       7.896311465197227e-01       
1.050000000000000e+01       1.100000000000000e+01       2.392583054142787e-01       2.200124000000000e+02       8.869880122031361e-08       5.336136005323178e-06       3.600294123607619e-04       1.789172383710025e-06       2.099997052637211e-01       9.762670358568416e-08       7.896329536900243e-01       
1.100000000000000e+01       1.150000000000000e+01       2.213603034258776e-01       2.000000000000000e+02       9.741356145208091e-08       3.816257742546106e-06       3.600317056384659e-04       1.788072342168298e-06       2.099996573984776e-01       9.619060548463825e-08       7.896345129616323e-01       
1.150000000000000e+01       1.200000000000000e+01       2.046847562298121e-01       2.000000000000000e+02       1.133072263164181e-07       2.854164161488201e-06       3.600355423797875e-04       1.786042670355055e-06       2.099995677721412e-01       9.391946540782960e-08       7.896355492519554e-01       
